Smiles,pH,Sand (%),Silt (%),Clay (%),Soil Organic Carbon (%),CEC (cmol/kg),Total Nitrogen (%),Moisture content (%),log K(OC)
COCCOC(=O)C1=CC=CC=C1C(=O)OCCOC,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,1.95
COC(=O)C1=CC=CC=C1C(=O)OC,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,1.43
CCOC(=O)C1=CC=CC=C1C(=O)OCC,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,1.65
C=CCOC(=O)c1ccccc1C(=O)OCC=C,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,2.25
CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,2.51
CCCOC(=O)C1=CC=CC=C1C(=O)OCCC,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,2.34
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,2.78
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,3.29
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,3.7
O=C(OC1=CC=CC=C1)C1=CC=CC=C1C(=O)OC1=CC=CC=C1,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,5
O=C(OC1CCCCC1)C1=CC=CC=C1C(=O)OC1CCCCC1,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,5
CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,4.63
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,5.87
